sentence,label_human,label_embed2discover,corpus_filename,start_pos,end_pos,file
Ist der Bundesrat sich dieser Situation bewusst?,0,0,16/10_3144.txt,1120,1168,16/10_3144.txt
"SR 822.21) und der Verordnung zum Arbeitszeitgesetz (AZGV), die in der Regel zwölf freie Sonntage vorsehen (Art. 10 Abs. 2 AZG und Art.",0,0,16/10_3508.txt,1263,1398,16/10_3508.txt
Durch welche Arten von Verträgen ist die Schweiz an die Pharmaindustrie gebunden?,0,0,16/10_3519.txt,2460,2541,16/10_3519.txt
Logischerweise muss dann auch der bestehende Vertrag zwischen der Billag und der Eidgenossenschaft vorsorglich auf den nächstmöglichen Termin gekündigt werden.,0,0,16/10_3316.txt,860,1019,16/10_3316.txt
"Ist der Bundesrat bereit, dafür zu sorgen, dass alle Massnahmen, welche die USA in Bezug auf sicherere Pässe unter dem Titel der Terrorbekämpfung von Schweizerinnen und Schweizern bei der Einreise in die USA verlangen (wie maschinenlesbare Pässe, allenfalls versehen mit biometrischen Daten) reziprok auch unsererseits von in die Schweiz einreisenden US-Bürgerinnen und -Bürgern verlangt werden?",0,0,6/04_5078.txt,0,395,6/04_5078.txt
Die Beantwortung diverser Fragen in der Fragestunde war unbefriedigend.,0,0,17/10_4130.txt,171,242,17/10_4130.txt
"Bei den Massnahmen im Treibstoffbereich schlägt der Bundesrat vor, die Pflicht zur Beimischung von biogenen Treibstoffen in eine Pflicht zur Überführung von erneuerbaren Treibstoffen in den steuerrechtlich freien Verkehr umzuwandeln und daraus eine separate Massnahme zu machen, die vom heutigen Kompensationssystem abgekoppelt ist.",0,0,53/22_4324.txt,116,448,53/22_4324.txt
"Die Fotovoltaik kann mittelfristig bedeutende Teile des Stromverbrauchs decken und trägt dazu bei, eine vom Ausland unabhängig Stromversorgung zu sichern.",0,0,16/10_3080.txt,1852,2006,16/10_3080.txt
"Die Eigentümer der in Mitleidenschaft gezogenen Wälder ergreifen bereits die ersten Massnahmen, können aber die Multifunktionalität der Wälder und die notwendigen Investitionen für den Wald von morgen nicht garantieren.",1,1,41/19_4177.txt,2641,2860,41/19_4177.txt
"Die Qualitätsstrategie des Bundes im Gesundheitswesen, die vom Bundesrat am 28. Oktober 2009 verabschiedet wurde, ist ein erster Schritt in Richtung eines auf nationaler Ebene koordinierten Qualitätsmanagements.",0,0,16/10_3451.txt,459,670,16/10_3451.txt
"Und der Bundesrat kann Vorstösse, Begehren und Fragen aus dem Parlament ins Leere laufen lassen mit dem Argument, es handle sich dabei nicht um Entscheide der Regierung, sondern um solche, die vom entsprechenden ausgelagerten Aufgabenträger in dessen Kompetenz gefällt worden seien.",0,0,16/10_3290.txt,1085,1367,16/10_3290.txt
In der Öffentlichkeit wird diese Entwicklung regelmässig kritisiert.,0,0,16/10_3671.txt,267,335,16/10_3671.txt
Damit soll die Zerstückelung oder Schliessung insbesondere von kleinen und mittleren Unternehmen (KMU) verhindert werden.,0,0,51/22_049.txt,3284,3405,51/22_049.txt
Der Bundesrat leistete 1994 mit der Verabschiedung des Leitbilds Nord-Süd Pionierarbeit.,0,0,16/10_3488.txt,844,932,16/10_3488.txt
"StGB), sondern aus schierer Blauäugigkeit, Inkompetenz oder Uneinsichtigkeit tat?",0,0,16/10_3610.txt,1850,1931,16/10_3610.txt
"Man könnte so auch das Problem lösen, dass Krankheitserreger resistent werden, wenn die Patientin oder der Patient die Behandlung mit Antibiotika nicht so lange wie verschrieben fortsetzt.",0,0,26/13_4156.txt,1020,1208,26/13_4156.txt
Das Bundesamt für Lebensmittelsicherheit und Veterinärwesen BLV hat am 9. Mai 2020 den Jahresbericht 2019 zu den Kontrollprogrammen an der Grenze Überwachung von pflanzlichen Lebensmitteln und Gebrauchsgegenständen publiziert.,0,0,45/20_3597.txt,114,342,45/20_3597.txt
"Welche rechtlichen Möglichkeiten hat der Bund weiter, dafür zu sorgen, dass die verantwortlichen Organmitglieder für das UBS-Debakel zur Rechenschaft gezogen werden?",0,0,16/10_1033.txt,746,911,16/10_1033.txt
"Wenn nein, warum nicht?2. Was kann der Bund unternehmen, um endlich die Weitergabe der gestohlenen Bankdaten zu unterbinden?",0,0,16/10_1096.txt,266,390,16/10_1096.txt
Dadurch können sie anschliessend selbst zwischen gefährlichen und ungefährlichen Inhalten unterscheiden.,0,0,16/10_3256.txt,1526,1630,16/10_3256.txt
"Graber, vom 28. September 1926.Der",0,0,51/2131.txt,0,34,51/2131.txt
