bill,classification,submission_date,bill_title,bill_text,"Notes (added = title, text, date added)",Notes
18.4228,1,2018-12-13,Zugang zu Verhütung für alle garantieren,"Der Bundesrat wird beauftragt, einen Bericht vorzulegen, der aufzeigt, wie der Zugang zu Verhütung in der Schweiz für alle garantiert werden kann. Der Bericht soll bestehende Hürden identifizieren und konkrete Möglichkeiten und Massnahmen aufzeigen, wie diese Hürden mit Fokus auf vulnerable Gruppen beseitigt werden können. Besonders zu berücksichtigen sind von Armut betroffene und von der Sozialhilfe abhängige Personen, Jugendliche, Gruppen von Migrantinnen und Migranten wie Flüchtlinge und Menschen mit Behinderungen. //// Zugang zu Verhütung ist Bestandteil der reproduktiven Rechte. Verhütung ist sowohl für die persönliche Selbstbestimmung und Lebensgestaltung als auch für die öffentliche Gesundheit von Bedeutung, denn sie leistet einen wichtigen Beitrag zur Prävention ungewollter Schwangerschaften, von HIV/Aids und zur Förderung der sexuellen Gesundheit. Voraussetzung ist ein niederschwelliger Zugang, der sowohl Information und Beratung wie auch die Verfügbarkeit von Verhütungsmitteln umfasst, welche für die jeweilige Person akzeptabel und bezahlbar sind. Der Zugang zu Verhütung ist nicht für alle Bevölkerungsgruppen sichergestellt, weshalb die Schweiz in europäischen Rankings wie dem Contraception Atlas nur mittelmässige Noten erhält. Während die Verhütung in der Schweiz als Privatsache gilt, wird sie in Ländern wie Deutschland, Frankreich und Belgien für Jugendliche und Menschen in schwierigen finanziellen Verhältnissen vergütet. Für Jugendliche leisten sie damit einen bedeutenden Präventionsbeitrag in einer wichtigen Übergangsphase zum Erwachsenenleben.
Hindernisse im Zugang zu Verhütung bestehen in der Schweiz auch für bestimmte Gruppen von Migrantinnen und Migranten, insbesondere für Flüchtlinge. Dies zeigt beispielsweise die Situationsanalyse ""Sexuelle und reproduktive Gesundheitsversorgung von Frauen und ihren Säuglingen in Asylunterkünften"" der Berner Fachhochschule. Die Studie, die vom BAG unterstützt wurde, stellt fest, dass der Zugang zu sicheren Verhütungsmitteln für asylsuchende Frauen erschwert ist. Gratis abgegeben werden Kondome, deren Anwendung jedoch vom Mann abhängt. Frauenspezifische Verhütung ist dagegen kostenpflichtig.",new,NA
23.7051,NA,2023-03-01,Stille Revolution in der Armeeseelsorge,"<p>Indem die Armee diskret, um nicht zu sagen heimlich, besondere Funktionsabzeichen für muslimische und jüdische Seelsorgerinnen und Seelsorger einführt, gibt sie den Grundsatz auf, dass die Seelsorge, auf die alle Angehörigen der Armee unabhängig von ihrem Glauben Anspruch haben, durch christliche Seelsorgerinnen und Seelsorger erfolgt.</p><p>- Verankert die Armee damit nicht eine Form der offiziellen Anerkennung der betreffenden Religionen, die dem Föderalismus zuwiderläuft?</p><p>- Fördert sie damit nicht die Ausbreitung des Islam in der Schweiz?</p>",NA,NA
23.3437,1/4,2023-03-21,"Unterstützungsprogramm für die Ukraine. Rechtsgrundlage und 5 Milliarden Franken für humanitäre Hilfe, den Schutz der Zivilbevölkerung, die Friedensförderung und den Wiederaufbau","<p>Der Bundesrat wird beauftragt, dem Parlament ein Unterstützungsprogramm für die Ukraine zu unterbreiten, das folgende Elemente enthält:</p><p>1. Rechtsgrundlage für die Unterstützung der Ukraine. Darin sind die Rahmenbedingungen des Unterstützungsprogramms festzulegen;</p><p>2. Unterstützungsprogramm im Umfang von mindestens fünf Milliarden Franken für die nächsten fünf bis zehn Jahre;</p><p>3. Verpflichtung, dass die Mittel in der Ukraine namentlich für humanitäre Hilfe, den Schutz der Zivilbevölkerung, die Friedensförderung und den Wiederaufbau der Infrastruktur eingesetzt werden.</p><p></p><p>Eine Minderheit der Kommission (Portmann, Aebi Andreas, Büchel Roland, Estermann, Gössi, Grüter, Nidegger, Schneider-Schneiter, Tuena, Wasserfallen Christian, Wehrli) beantragt, die Motion abzulehnen.</p><p>Russlands brutaler und völkerrechtswidriger Angriffskrieg dauert an. Die Ukraine ist auf Unterstützung in erheblichem Umfang angewiesen, etwa für humanitäre Hilfe, den Schutz der Zivilbevölkerung, die Minenräumung, die Friedensförderung oder die Stärkung der zivilen Infrastruktur. Es ist bereits heute absehbar, dass die Ukraine riesige Beträge allein für die humanitäre Hilfe und den Wiederaufbau der Infrastruktur benötigen wird.</p><p>Die Schweiz leistet heute, auch unter Einbezug des neusten Hilfspakets des Bundesrates, weniger Hilfe an die Ukraine als andere vergleichbare Staaten. Norwegen hat der Ukraine beispielsweise ein Hilfspaket von rund 7,5 Milliarden Euro für die nächsten fünf Jahre zugesagt. Eine Erhöhung der Hilfe der Schweiz ist jedoch aufgrund der unhaltbaren humanitären Lage unabdingbar und liegt auch im aussenpolitischen Interesse der Schweiz.</p><p>Mit der vorliegenden Motion wird der Bundesrat daher aufgefordert, ein Unterstützungsprogramm zur kurz- und mittelfristigen Unterstützung der Ukraine vorzulegen. Dazu sollen die notwendigen gesetzlichen Grundlagen geschaffen werden, die eine Unterstützung der Ukraine ermöglichen und die Rahmenbedingungen der Unterstützung festlegen.</p><p>Das Unterstützungsprogramm soll sich an folgenden Eckpunkte orientieren: Mindestens fünf Milliarden Franken, verteilt über die nächsten fünf bis zehn Jahre. Dieses mehrjährige Engagement soll der Ukraine mehr Sicherheit in Bezug auf die Deckung ihres Bedarfs in den kommenden Jahren geben. Es sollen insbesondere Projekte der humanitären Hilfe, des Schutzes der Zivilbevölkerung, der Friedensförderung und des Wiederaufbaus der Infrastruktur unterstützt werden und es soll dem Bundesrat obliegen, jährlich die Zuweisung des Betrages für das nächste Jahr zu beantragen, wobei er sich nach der Entwicklung des Konflikts und dem Bedarf zu richten hat. Die Ausgaben sollen die bestehenden Verpflichtungen und Kreditlinien im Bereich der internationalen Zusammenarbeit und der humanitären Hilfe ergänzen.</p>",NA,Changed from 4 to 1/4
23.7077,NA,2023-03-01,"Wo steht der Bund bezüglich der Umsetzung der versprochenen Massnahmen zu \""Subventionen mit biodiversitätsschädigender Wirkung\"" im Verkehrsbereich?","<p>Das Bundesamt für Strassen (ASTRA) und das Bundesamt für Verkehr (BAV) haben im August 2021 sieben Massnahmen beschlossen, um die Biodiversität im Verkehrsbereich besser zu schützen und zu fördern - vier davon mit einer Umsetzungsfrist bis Ende 2021 bzw. 2022.</p><p>- Wurden diese Massnahmen inzwischen umgesetzt?</p><p>Wenn ja, mit welchem Erfolg?</p><p>Wenn nein, warum nicht?</p><p>- Was ist der Stand bei den Massnahmen mit einer Frist bis 2023?</p>",NA,NA
23.7,7,2023-02-27,Interchange Fees für Zahlungen mit Debitkarten deckeln,"<p>Die neuen Debitkarten von VISA und Mastercard verursachen den Unternehmen, die dieses Zahlungsmittel akzeptieren (Geschäfte, Restaurants, Hotels, Dienstleistungsunternehmen usw.), höhere Entgelte als die heutige Maestro-Karte. Es wäre wünschenswert, wie die Europäische Union diese Interbankenentgelte (Interchange Fees) zu deckeln, um den KMU etwas Luft zu verschaffen.</p><p>Ist der Bundesrat bereit, eine annehmbare Obergrenze für solche Entgelte einzuführen?</p>",NA,"NEW DT,"
23.328,8,2023-03-16,Für das Recht jedes Mitglieds der Versichertengemeinschaft auf Mitsprache bei wichtigen Änderungen im Bereich der Sozialversicherungen,"<p>Der Bundesrat wird beauftragt, eine Gesetzesänderung vorzuschlagen, die es allen Versicherten ermöglicht, bei grossen Änderungen im Bereich der Sozialversicherungen (AHV, IV, UV) mitzureden.</p><p>Die Schweiz hat sich für ein System der sozialen Sicherheit entschieden, das auf Versicherungen beruht, in die alle Arbeitnehmerinnen und Arbeitnehmer unabhängig von ihrer Nationalität einzahlen.</p><p>Es gilt, die Demokratie des Systems zu gewährleisten und allen Versicherten die Möglichkeit zu geben, bei wichtigen Änderungen der Versicherungen, denen sie angeschlossen sind, mitzureden.</p><p>Heute bleibt diese Möglichkeit 520 000 Frauen und 710 000 Männern verwehrt. </p><p>Diese Versicherten machen 57 Prozent der Hilfsarbeitskräfte, 44 Prozent der Maschinenbedienerinnen und -bediener und 28 Prozent des Personals in Dienstleistungsberufen und der Verkäuferinnen und Verkäufer aus. Sie sind in den belastendsten Berufen überrepräsentiert. </p><p>Sie zählen daher zu jenen Personen, die am stärksten von Änderungen bei den obligatorischen Sozialversicherungen betroffen sind.</p>",NA,Change from 9 to 8
23.7057,NA,2023-03-01,A22 unter den Boden - Gewässer- und Siedlungsraum freispielen,"<p>1. Inwiefern ist eine Sanierung der teilweise auf der Ergolz verlaufenden A22 Liestal-Lausen mit der Gewässerschutzgesetzgebung vereinbar?</p><p>2. Welche weiteren Lärmschutzmassnahmen sind neben den im Abschnitt Lausen angekündigten Massnahmen geplant?</p><p>3. Welche Überlegungen liegen von Seiten des Bundes bereits vor, um den wertvollen Natur- und Siedlungsraum von der teilweise auf der Ergolz verlaufenden Fahrspur zu befreien?</p>",NA,NA
23.3407,9,2023-03-17,Gleich lange Spiesse beim Grenzschutz!,"<p>Der Bundesrat wird beauftragt, eine Angleichung der Zolltarife für pflanzliche Proteine vorzunehmen. Konkret soll bei Proteinisolaten bei der Einfuhr in die Schweiz nicht der \""Proteingehalt\"" ausschlaggebend für den Zolltarif sein, da dies eine Benachteiligung gegenüber der Einfuhr tierischer Rohstoffe darstellt, wo diese Frage nicht gestellt wird.</p><p>Neben einer innovativen Land- und Ernährungswirtschaft im Inland hat die Schweiz als Innovationsstandort und Sitz vielversprechender Startups und Kleinunternehmen eine wichtige Rolle im globalen Ernährungssystem. Dies ist eine besondere Chance für die Schweiz, sich im globalen Markt als attraktiver Wirtschaftsstandort und Pionier für eine auf Nachhaltigkeit ausgerichtete Agrar- und Lebensmittelindustrie zu positionieren. Es ist also nicht nur die Vermeidung der hohen privaten und öffentlichen Kosten steigender Gesundheits- und Umweltrisiken, sondern es sind auch die grossen wirtschaftlichen Chancen eines zunehmend auf Nachhaltigkeit ausgerichteten Marktes, welche die Förderung umweltschonender, pflanzlicher Alternativen zu einer lohnenden Investition machen. Dies ist einem wissenschaftlichen Paper von Felsenfest et. al. zu entnehmen, das sich mit den Chancen und Potenzialen einer auf Nachhaltigkeit ausgerichteten Ernährungszukunft befasst.</p><p>Die aktuelle Situation zeigt denn auch: über die Schweizer Grenzen hinaus bekannte Firmen und Startups beweisen: wir können Innovation! Die Chance, auf dem vielversprechenden Markt pflanzlicher Alternativprodukte zu einem der Leader zu avancieren, ist gegeben. Ein Hindernis für viele Produzierende ist jedoch die Beschaffung der Rohstoffe. Idealerweise könnte man bereits heute voll auf Schweizer Proteinisolate zurückgreifen, doch bis dem so ist, müssen beispielsweise Erbsenproteinisolate mit höheren Zolltarifen aus dem benachbarten Ausland importiert werden als tierische Rohstoffe. Um hier eine Gleichbehandlung sicherzustellen und innovativen Produzierenden in der Schweiz keine Nachteile einzuräumen, soll mit dieser Motion diese Ungleichbehandlung beseitigt werden.</p>",NA,NA
22.3739,2,2022-06-16,Strukturen der Schweizer Musikwirtschaft stärken,"Der Bundesrat wird beauftragt, die nötigen Verordnungsanpassungen vorzunehmen oder der Bundesversammlung Entwürfe zu gesetzlichen Anpassungen vorzulegen, welche die gezielte Strukturförderung der schweizerischen Musikwirtschaft ermöglichen. // Die Musikwirtschaft der Schweiz ist breit aufgestellt, sehr vielfältig und hat sich in den letzten Jahren zu einem dynamischen Wachstumsmarkt entwickelt. Dies schlägt sich in erfreulichem Erfolg nieder: Einerseits verschaffen sich immer mehr Schweizer Künstlerinnen und Künstler international Gehör und andererseits hat der Anteil des einheimischen Musikschaffens gegenüber der internationalen Konkurrenz deutlich an Marktanteilen gewonnen. Ein wichtiger Treiber dieser positiven Entwicklung sind zahlreiche kleine und mittlere Unternehmen und Organisationen (Labels, Managements, Vermittlungen, Booking-Agenturen und Musikverlage), welche die Musikerinnen und Musiker und Veranstalterinnen und Veranstalter mit professionellem Knowhow unterstützen. Sie sind damit wesentlich am kulturellen und wirtschaftlichen Erfolg der Schweizer Musik beteiligt.
Das unternehmerische Risiko dieser Kreise ist gross. Eine vom Bund getragene Strukturförderung könnte helfen, die Rahmenbedingungen zu optimieren und damit die Chancen des nationalen Musikschaffens im In- und Ausland signifikant zu verbessern.
Diese Punkte wurden bereits im Postulat Wermuth 20.3685 betont. Der Bundesrat wollte dieses Postulat mit Verweis auf die bestehenden Fördergefässe im Kulturbereich und auf dem Standpunkt, die Strukturförderung sei in der Musik nicht dringender als anderswo nicht annehmen. Seither sind wegen der aktuellen Krisen viele bestehende Strukturen weiter weggebrochen und die existenzielle Gefährdung der Schweizerischen Musikwirtschaft hat sich akzentuiert. Es ist deshalb dringender Handlungsbedarf in Form von Strukturförderung angezeigt. Mit einer gezielten Strukturförderung könnte Professionalisierung der Branche vorangetrieben die Wettbewerbsfähigkeit gestärkt, die Wertschöpfung der Branche erhöht die Arbeitsplätze sowie wertvolle Aus- und Weiterbildung gesichert werden. Dies würde auch der Abwanderung von erfolgreichen Künstlerinnen und Künstlern zu ausländischen Unternehmen entgegenwirken.",added,NA
22.3886,6,2022-08-16,Praxistaugliche Umsetzung des Schleppschlauchobligatoriums,"Der Bundesrat wird beauftragt dahingehend aktiv zu werden, dass die Vollzugshilfe zur Umsetzung des Obligatoriums von emissionsmindernden Ausbringverfahren von Gülle ergänzt wird. Namentlich sind emissionsmindernde Ausbringverfahren nicht zwingend einzusetzen: (I) In Hochstammbaumgärten (auch QI) mit mehr als 25 Hochstämmen je Hektare, (II) bei Parzellen, welche auf Grund der bestehenden Ausnahmen weniger als 80 Prozent emissionsarm begüllbare Flächen aufweisen und (III) Teilflächen von weniger als 50 Aren mit einer Minimalbreite von 12 Metern.
//
Seit dem Entscheid des Bundesrates emissionsmindernde Gülletechnik als Pflicht einzuführen, hat der Bund gemeinsam mit den Kantonen die Umsetzung des Obligatoriums erarbeitet. Nun zeigen sich dabei diverse Schwierigkeiten in der Praxis, welche angegangen werden müssen.
(I) Hochstammbäume sind wichtig für die Biodiversität, jedoch sind sie auch Hindernisse für die Bewirtschaftung der darunterliegenden Fläche. Während Q2 Bäume explizit vom Obligatorium ausgenommen sind, braucht es bei Q1 Bäumen jeweils einzelne Ausnahmegesuche, da es nicht auf den Karten abgebildet wird.
(II) In kupiertem Gelände sind oftmals zwei Systeme notwendig. Damit nicht wegen Kleinstflächen auf den einzelnen Parzellen ein langer Anfahrtsweg mit unterschiedlichen Systemen notwendig ist, sind Parzellen, welche weniger als 80 Prozent emissionsarm begüllbare Flächen aufweisen, von der Pflicht auszunehmen.
(III) Gemäss Vollzugshilfe sind Teilstücke grösser als 25 Aren pflichtig, diese Untergrenze ist jedoch zu tief angesetzt. Als zusammenhängende Flächen zählen Teilstücke mit einem 2,5m breiten Durchgang, was bei einer durchschnittlichen Breite eines Schleppschlauches von 12 Metern nicht praktikabel ist. So müsste während der Ausbringung von einem Fass den Prozess aufwändig unterbrochen werden und die Seitenarme eingeklappt werden. Für eine praxistaugliche Umsetzung sollte die Teilfläche mindestens 50 Aren gross sein und die minimale Breite der Teilfläche 12 Metern entsprechen.
Mit der Einreichung der Motion hat die Kommission das Anliegen der Petition 22.2005 ""Eberli Paul. Abschaffung der obligatorischen Schleppschlauchpflicht"" teilweise aufgenommen.",NA,added
